What is your lunar module's name? 
"'Snoopy', Houston. You're GO for powered descent."

     Time     |   Altitude   |   Velocity   |     Fuel     |   Throttle   
         89 s |   14408.10 m |   285.47 m/s |      0.00 kg | 0
         90 s |   14691.95 m |   283.84 m/s |      0.00 kg | 0
         91 s |   14974.16 m |   282.21 m/s |      0.00 kg | 0
         92 s |   15254.74 m |   280.58 m/s |      0.00 kg | 0
         93 s |   15533.70 m |   278.95 m/s |      0.00 kg | 0
         94 s |   15811.02 m |   277.32 m/s |      0.00 kg | 0
         95 s |   16086.72 m |   275.69 m/s |      0.00 kg | 0
         96 s |   16360.78 m |   274.06 m/s |      0.00 kg | 0
         97 s |   16633.21 m |   272.43 m/s |      0.00 kg | 0
         98 s |   16904.02 m |   270.80 m/s |      0.00 kg | 0
         99 s |   17173.19 m |   269.17 m/s |      0.00 kg | 0
        100 s |   17440.73 m |   267.54 m/s |      0.00 kg | 0
        101 s |   17706.65 m |   265.91 m/s |      0.00 kg | 0
        102 s |   17970.93 m |   264.28 m/s |      0.00 kg | 0
        103 s |   18233.58 m |   262.65 m/s |      0.00 kg | 0
        104 s |   18494.61 m |   261.02 m/s |      0.00 kg | 0
        105 s |   18754.00 m |   259.39 m/s |      0.00 kg | 0
        106 s |   19011.76 m |   257.76 m/s |      0.00 kg | 0
        107 s |   19267.90 m |   256.13 m/s |      0.00 kg | 0
        108 s |   19522.40 m |   254.50 m/s |      0.00 kg | 0
        109 s |   19775.27 m |   252.87 m/s |      0.00 kg | 0
        110 s |   20026.52 m |   251.24 m/s |      0.00 kg | 0
        111 s |   20276.13 m |   249.61 m/s |      0.00 kg | 0
        112 s |   20524.11 m |   247.98 m/s |      0.00 kg | 0
        113 s |   20770.47 m |   246.35 m/s |      0.00 kg | 0
        114 s |   21015.19 m |   244.72 m/s |      0.00 kg | 0
        115 s |   21258.28 m |   243.09 m/s |      0.00 kg | 0
        116 s |   21499.75 m |   241.46 m/s |      0.00 kg | 0
        117 s |   21739.58 m |   239.83 m/s |      0.00 kg | 0
        118 s |   21977.78 m |   238.20 m/s |      0.00 kg | 0
        119 s |   22214.36 m |   236.57 m/s |      0.00 kg | 0
        120 s |   22449.30 m |   234.94 m/s |      0.00 kg | 0
        121 s |   22682.61 m |   233.31 m/s |      0.00 kg | 0
        122 s |   22914.30 m |   231.68 m/s |      0.00 kg | 0
        123 s |   23144.35 m |   230.05 m/s |      0.00 kg | 0
        124 s |   23372.77 m |   228.42 m/s |      0.00 kg | 0
        125 s |   23599.57 m |   226.79 m/s |      0.00 kg | 0
        126 s |   23824.73 m |   225.16 m/s |      0.00 kg | 0
        127 s |   24048.26 m |   223.53 m/s |      0.00 kg | 0
        128 s |   24270.17 m |   221.90 m/s |      0.00 kg | 0
        129 s |   24490.44 m |   220.27 m/s |      0.00 kg | 0
        130 s |   24709.08 m |   218.64 m/s |      0.00 kg | 0
        131 s |   24926.10 m |   217.01 m/s |      0.00 kg | 0
        132 s |   25141.48 m |   215.38 m/s |      0.00 kg | 0
        133 s |   25355.23 m |   213.75 m/s |      0.00 kg | 0
        134 s |   25567.36 m |   212.12 m/s |      0.00 kg | 0
        135 s |   25777.85 m |   210.49 m/s |      0.00 kg | 0
        136 s |   25986.72 m |   208.86 m/s |      0.00 kg | 0
        137 s |   26193.95 m |   207.23 m/s |      0.00 kg | 0
        138 s |   26399.55 m |   205.60 m/s |      0.00 kg | 0
        139 s |   26603.53 m |   203.97 m/s |      0.00 kg | 0
        140 s |   26805.87 m |   202.34 m/s |      0.00 kg | 0
        141 s |   27006.58 m |   200.71 m/s |      0.00 kg | 0
        142 s |   27205.67 m |   199.08 m/s |      0.00 kg | 0
        143 s |   27403.12 m |   197.45 m/s |      0.00 kg | 0
        144 s |   27598.94 m |   195.82 m/s |      0.00 kg | 0
        145 s |   27793.14 m |   194.19 m/s |      0.00 kg | 0
        146 s |   27985.70 m |   192.56 m/s |      0.00 kg | 0
        147 s |   28176.63 m |   190.93 m/s |      0.00 kg | 0
        148 s |   28365.94 m |   189.30 m/s |      0.00 kg | 0
        149 s |   28553.61 m |   187.67 m/s |      0.00 kg | 0
        150 s |   28739.65 m |   186.04 m/s |      0.00 kg | 0
        151 s |   28924.07 m |   184.41 m/s |      0.00 kg | 0
        152 s |   29106.85 m |   182.78 m/s |      0.00 kg | 0
        153 s |   29288.00 m |   181.15 m/s |      0.00 kg | 0
        154 s |   29467.53 m |   179.52 m/s |      0.00 kg | 0
        155 s |   29645.42 m |   177.89 m/s |      0.00 kg | 0
        156 s |   29821.68 m |   176.26 m/s |      0.00 kg | 0
        157 s |   29996.32 m |   174.63 m/s |      0.00 kg | 0
        158 s |   30169.32 m |   173.00 m/s |      0.00 kg | 0
        159 s |   30340.69 m |   171.37 m/s |      0.00 kg | 0
        160 s |   30510.44 m |   169.74 m/s |      0.00 kg | 0
        161 s |   30678.55 m |   168.11 m/s |      0.00 kg | 0
        162 s |   30845.03 m |   166.48 m/s |      0.00 kg | 0
        163 s |   31009.89 m |   164.85 m/s |      0.00 kg | 0
        164 s |   31173.11 m |   163.22 m/s |      0.00 kg | 0
        165 s |   31334.70 m |   161.59 m/s |      0.00 kg | 0
        166 s |   31494.67 m |   159.96 m/s |      0.00 kg | 0
        167 s |   31653.00 m |   158.33 m/s |      0.00 kg | 0
        168 s |   31809.70 m |   156.70 m/s |      0.00 kg | 0
        169 s |   31964.78 m |   155.07 m/s |      0.00 kg | 0
        170 s |   32118.22 m |   153.44 m/s |      0.00 kg | 0
        171 s |   32270.03 m |   151.81 m/s |      0.00 kg | 0
        172 s |   32420.22 m |   150.18 m/s |      0.00 kg | 0
        173 s |   32568.77 m |   148.55 m/s |      0.00 kg | 0
        174 s |   32715.69 m |   146.92 m/s |      0.00 kg | 0
        175 s |   32860.99 m |   145.29 m/s |      0.00 kg | 0
        176 s |   33004.65 m |   143.66 m/s |      0.00 kg | 0
        177 s |   33146.69 m |   142.03 m/s |      0.00 kg | 0
        178 s |   33287.09 m |   140.40 m/s |      0.00 kg | 0
        179 s |   33425.86 m |   138.77 m/s |      0.00 kg | 0
        180 s |   33563.01 m |   137.14 m/s |      0.00 kg | 0
        181 s |   33698.52 m |   135.51 m/s |      0.00 kg | 0
        182 s |   33832.40 m |   133.88 m/s |      0.00 kg | 0
        183 s |   33964.66 m |   132.25 m/s |      0.00 kg | 0
        184 s |   34095.28 m |   130.62 m/s |      0.00 kg | 0
        185 s |   34224.27 m |   128.99 m/s |      0.00 kg | 0
        186 s |   34351.64 m |   127.36 m/s |      0.00 kg | 0
        187 s |   34477.37 m |   125.73 m/s |      0.00 kg | 0
        188 s |   34601.47 m |   124.10 m/s |      0.00 kg | 0
        189 s |   34723.95 m |   122.47 m/s |      0.00 kg | 0
        190 s |   34844.79 m |   120.84 m/s |      0.00 kg | 0
        191 s |   34964.00 m |   119.21 m/s |      0.00 kg | 0
        192 s |   35081.59 m |   117.58 m/s |      0.00 kg | 0
        193 s |   35197.54 m |   115.95 m/s |      0.00 kg | 0
        194 s |   35311.86 m |   114.32 m/s |      0.00 kg | 0
        195 s |   35424.56 m |   112.69 m/s |      0.00 kg | 0
        196 s |   35535.62 m |   111.06 m/s |      0.00 kg | 0
        197 s |   35645.05 m |   109.43 m/s |      0.00 kg | 0
        198 s |   35752.86 m |   107.80 m/s |      0.00 kg | 0
        199 s |   35859.03 m |   106.17 m/s |      0.00 kg | 0
        200 s |   35963.57 m |   104.54 m/s |      0.00 kg | 0
        201 s |   36066.49 m |   102.91 m/s |      0.00 kg | 0
        202 s |   36167.77 m |   101.28 m/s |      0.00 kg | 0
        203 s |   36267.42 m |    99.65 m/s |      0.00 kg | 0
        204 s |   36365.45 m |    98.02 m/s |      0.00 kg | 0
        205 s |   36461.84 m |    96.39 m/s |      0.00 kg | 0
        206 s |   36556.60 m |    94.76 m/s |      0.00 kg | 0
        207 s |   36649.74 m |    93.13 m/s |      0.00 kg | 0
        208 s |   36741.24 m |    91.50 m/s |      0.00 kg | 0
        209 s |   36831.11 m |    89.87 m/s |      0.00 kg | 0
        210 s |   36919.36 m |    88.24 m/s |      0.00 kg | 0
        211 s |   37005.97 m |    86.61 m/s |      0.00 kg | 0
        212 s |   37090.95 m |    84.98 m/s |      0.00 kg | 0
        213 s |   37174.31 m |    83.35 m/s |      0.00 kg | 0
        214 s |   37256.03 m |    81.72 m/s |      0.00 kg | 0
        215 s |   37336.12 m |    80.09 m/s |      0.00 kg | 0
        216 s |   37414.59 m |    78.46 m/s |      0.00 kg | 0
        217 s |   37491.42 m |    76.83 m/s |      0.00 kg | 0
        218 s |   37566.62 m |    75.20 m/s |      0.00 kg | 0
        219 s |   37640.20 m |    73.57 m/s |      0.00 kg | 0
        220 s |   37712.14 m |    71.94 m/s |      0.00 kg | 0
        221 s |   37782.46 m |    70.31 m/s |      0.00 kg | 0
        222 s |   37851.14 m |    68.68 m/s |      0.00 kg | 0
        223 s |   37918.19 m |    67.05 m/s |      0.00 kg | 0
        224 s |   37983.62 m |    65.42 m/s |      0.00 kg | 0
        225 s |   38047.41 m |    63.79 m/s |      0.00 kg | 0
        226 s |   38109.57 m |    62.16 m/s |      0.00 kg | 0
        227 s |   38170.11 m |    60.53 m/s |      0.00 kg | 0
        228 s |   38229.01 m |    58.90 m/s |      0.00 kg | 0
        229 s |   38286.28 m |    57.27 m/s |      0.00 kg | 0
        230 s |   38341.93 m |    55.64 m/s |      0.00 kg | 0
        231 s |   38395.94 m |    54.01 m/s |      0.00 kg | 0
        232 s |   38448.32 m |    52.38 m/s |      0.00 kg | 0
        233 s |   38499.08 m |    50.75 m/s |      0.00 kg | 0
        234 s |   38548.20 m |    49.12 m/s |      0.00 kg | 0
        235 s |   38595.69 m |    47.49 m/s |      0.00 kg | 0
        236 s |   38641.56 m |    45.86 m/s |      0.00 kg | 0
        237 s |   38685.79 m |    44.23 m/s |      0.00 kg | 0
        238 s |   38728.39 m |    42.60 m/s |      0.00 kg | 0
        239 s |   38769.37 m |    40.97 m/s |      0.00 kg | 0
