What is your lunar module's name? 
"'Snoopy', Houston. You're GO for powered descent."

     Time     |   Altitude   |   Velocity   |     Fuel     |   Throttle   
        404 s |   23207.13 m |  -227.98 m/s |      0.00 kg | 0
        405 s |   22977.52 m |  -229.61 m/s |      0.00 kg | 0
        406 s |   22746.29 m |  -231.24 m/s |      0.00 kg | 0
        407 s |   22513.42 m |  -232.87 m/s |      0.00 kg | 0
        408 s |   22278.92 m |  -234.50 m/s |      0.00 kg | 0
        409 s |   22042.80 m |  -236.13 m/s |      0.00 kg | 0
        410 s |   21805.04 m |  -237.76 m/s |      0.00 kg | 0
        411 s |   21565.65 m |  -239.39 m/s |      0.00 kg | 0
        412 s |   21324.64 m |  -241.02 m/s |      0.00 kg | 0
        413 s |   21081.99 m |  -242.65 m/s |      0.00 kg | 0
        414 s |   20837.71 m |  -244.28 m/s |      0.00 kg | 0
        415 s |   20591.81 m |  -245.91 m/s |      0.00 kg | 0
        416 s |   20344.27 m |  -247.54 m/s |      0.00 kg | 0
        417 s |   20095.10 m |  -249.17 m/s |      0.00 kg | 0
        418 s |   19844.31 m |  -250.80 m/s |      0.00 kg | 0
        419 s |   19591.88 m |  -252.43 m/s |      0.00 kg | 0
        420 s |   19337.82 m |  -254.06 m/s |      0.00 kg | 0
        421 s |   19082.14 m |  -255.69 m/s |      0.00 kg | 0
        422 s |   18824.82 m |  -257.32 m/s |      0.00 kg | 0
        423 s |   18565.87 m |  -258.95 m/s |      0.00 kg | 0
        424 s |   18305.30 m |  -260.58 m/s |      0.00 kg | 0
        425 s |   18043.09 m |  -262.21 m/s |      0.00 kg | 0
        426 s |   17779.25 m |  -263.84 m/s |      0.00 kg | 0
        427 s |   17513.79 m |  -265.47 m/s |      0.00 kg | 0
        428 s |   17246.69 m |  -267.10 m/s |      0.00 kg | 0
        429 s |   16977.96 m |  -268.73 m/s |      0.00 kg | 0
        430 s |   16707.61 m |  -270.36 m/s |      0.00 kg | 0
        431 s |   16435.62 m |  -271.99 m/s |      0.00 kg | 0
        432 s |   16162.01 m |  -273.62 m/s |      0.00 kg | 0
        433 s |   15886.76 m |  -275.25 m/s |      0.00 kg | 0
        434 s |   15609.88 m |  -276.88 m/s |      0.00 kg | 0
        435 s |   15331.38 m |  -278.51 m/s |      0.00 kg | 0
        436 s |   15051.24 m |  -280.14 m/s |      0.00 kg | 0
        437 s |   14769.47 m |  -281.77 m/s |      0.00 kg | 0
        438 s |   14486.08 m |  -283.40 m/s |      0.00 kg | 0
        439 s |   14201.05 m |  -285.03 m/s |      0.00 kg | 0
        440 s |   13914.39 m |  -286.66 m/s |      0.00 kg | 0
        441 s |   13626.11 m |  -288.29 m/s |      0.00 kg | 0
        442 s |   13336.19 m |  -289.92 m/s |      0.00 kg | 0
        443 s |   13044.64 m |  -291.55 m/s |      0.00 kg | 0
        444 s |   12751.47 m |  -293.18 m/s |      0.00 kg | 0
        445 s |   12456.66 m |  -294.81 m/s |      0.00 kg | 0
        446 s |   12160.22 m |  -296.44 m/s |      0.00 kg | 0
        447 s |   11862.16 m |  -298.07 m/s |      0.00 kg | 0
        448 s |   11562.46 m |  -299.70 m/s |      0.00 kg | 0
        449 s |   11261.13 m |  -301.33 m/s |      0.00 kg | 0
        450 s |   10958.18 m |  -302.96 m/s |      0.00 kg | 0
        451 s |   10653.59 m |  -304.59 m/s |      0.00 kg | 0
        452 s |   10347.37 m |  -306.22 m/s |      0.00 kg | 0
        453 s |   10039.53 m |  -307.85 m/s |      0.00 kg | 0
        454 s |    9730.05 m |  -309.48 m/s |      0.00 kg | 0
        455 s |    9418.94 m |  -311.11 m/s |      0.00 kg | 0
        456 s |    9106.21 m |  -312.74 m/s |      0.00 kg | 0
        457 s |    8791.84 m |  -314.37 m/s |      0.00 kg | 0
        458 s |    8475.84 m |  -316.00 m/s |      0.00 kg | 0
        459 s |    8158.22 m |  -317.63 m/s |      0.00 kg | 0
        460 s |    7838.96 m |  -319.26 m/s |      0.00 kg | 0
        461 s |    7518.07 m |  -320.89 m/s |      0.00 kg | 0
        462 s |    7195.56 m |  -322.52 m/s |      0.00 kg | 0
        463 s |    6871.41 m |  -324.15 m/s |      0.00 kg | 0
        464 s |    6545.63 m |  -325.78 m/s |      0.00 kg | 0
        465 s |    6218.23 m |  -327.41 m/s |      0.00 kg | 0
        466 s |    5889.19 m |  -329.04 m/s |      0.00 kg | 0
        467 s |    5558.52 m |  -330.67 m/s |      0.00 kg | 0
        468 s |    5226.23 m |  -332.30 m/s |      0.00 kg | 0
        469 s |    4892.30 m |  -333.93 m/s |      0.00 kg | 0
        470 s |    4556.74 m |  -335.56 m/s |      0.00 kg | 0
        471 s |    4219.56 m |  -337.19 m/s |      0.00 kg | 0
        472 s |    3880.74 m |  -338.82 m/s |      0.00 kg | 0
        473 s |    3540.29 m |  -340.45 m/s |      0.00 kg | 0
        474 s |    3198.22 m |  -342.08 m/s |      0.00 kg | 0
        475 s |    2854.51 m |  -343.71 m/s |      0.00 kg | 0
        476 s |    2509.18 m |  -345.34 m/s |      0.00 kg | 0
        477 s |    2162.21 m |  -346.97 m/s |      0.00 kg | 0
        478 s |    1813.61 m |  -348.60 m/s |      0.00 kg | 0
        479 s |    1463.39 m |  -350.23 m/s |      0.00 kg | 0
        480 s |    1111.53 m |  -351.86 m/s |      0.00 kg | 0
        481 s |     758.04 m |  -353.49 m/s |      0.00 kg | 0
        482 s |     402.93 m |  -355.12 m/s |      0.00 kg | 0
        483 s |      46.18 m |  -356.75 m/s |      0.00 kg | 0
              |              CONTACT DETECTED              |              
        484 s |       0.00 m |  -358.38 m/s |      0.00 kg | SHUTDOWN

"Fate has ordained that those who went to the Moon
to explore in peace will stay on the Moon to rest in peace."
